                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                0.78884,                0.55236,                 1.1328,                0.89539,                0.99388,                0.97677,                0.80772,                0.72162,                0.38747,                 1.0954,              0.0009902,              0.0009902,              0.0009902
                     54,                0.77764,                0.54612,                 1.1213,                0.88747,                0.99083,                0.97566,                0.79647,                0.73795,                 0.3885,                 1.1203,              0.0009704,              0.0009704,              0.0009704
                     55,                0.78518,                0.54093,                 1.1267,                0.91561,                0.97554,                0.96931,                0.79675,                0.72287,                0.38695,                 1.1094,              0.0009506,              0.0009506,              0.0009506
                     56,                0.78449,                0.55003,                 1.1301,                 0.8969,                0.99083,                0.96949,                 0.8075,                0.71484,                0.38085,                 1.0992,              0.0009308,              0.0009308,              0.0009308
                     57,                0.76238,                0.53889,                 1.1152,                0.91094,                0.96963,                 0.9721,                0.79799,                0.73182,                0.39719,                 1.1079,               0.000911,               0.000911,               0.000911
                     58,                0.76451,                0.52217,                 1.1115,                0.92735,                0.96942,                0.97095,                0.79608,                0.72199,                0.38046,                 1.0993,              0.0008912,              0.0008912,              0.0008912
                     59,                0.75655,                0.52665,                 1.1096,                0.92521,                0.98366,                0.97478,                0.80405,                0.71331,                0.36436,                 1.1164,              0.0008714,              0.0008714,              0.0008714
                     60,                 0.7672,                0.53337,                 1.1207,                0.93435,                0.95747,                0.96984,                0.80765,                0.70427,                0.37218,                 1.0936,              0.0008516,              0.0008516,              0.0008516
                     61,                 0.7535,                0.53137,                 1.1056,                0.91654,                0.97398,                0.97247,                0.81176,                 0.6884,                0.37931,                 1.0869,              0.0008318,              0.0008318,              0.0008318
                     62,                0.75677,                0.53224,                 1.1027,                0.90215,                0.98777,                0.97337,                0.81709,                0.68325,                0.37001,                 1.0772,               0.000812,               0.000812,               0.000812
                     63,                 0.7353,                0.52028,                 1.1016,                0.92543,                0.94882,                0.97417,                0.82411,                0.67862,                0.37955,                 1.0699,              0.0007922,              0.0007922,              0.0007922
                     64,                0.73577,                0.50053,                 1.1013,                0.93011,                 0.9633,                0.97456,                0.81055,                0.70298,                0.36611,                 1.0981,              0.0007724,              0.0007724,              0.0007724
                     65,                0.73636,                0.51661,                 1.1041,                0.91462,                0.98277,                0.97426,                0.82325,                0.67267,                0.36044,                 1.0721,              0.0007526,              0.0007526,              0.0007526
                     66,                0.73839,                0.52596,                 1.1026,                0.92384,                0.96446,                0.97121,                 0.8144,                0.68091,                0.37943,                 1.0741,              0.0007328,              0.0007328,              0.0007328
                     67,                0.72272,                 0.5084,                 1.0908,                0.92825,                0.97859,                0.97404,                0.80699,                0.67696,                0.36487,                 1.0737,               0.000713,               0.000713,               0.000713
                     68,                0.73042,                0.50147,                 1.0889,                0.91094,                0.99083,                0.97411,                 0.8246,                0.68222,                0.36433,                 1.0704,              0.0006932,              0.0006932,              0.0006932
                     69,                0.71597,                0.49845,                 1.0924,                0.93436,                0.96024,                0.96964,                0.80345,                0.69117,                0.37293,                 1.0886,              0.0006734,              0.0006734,              0.0006734
                     70,                0.72592,                0.52096,                 1.0996,                0.94217,                0.95413,                0.97322,                0.81433,                0.66704,                0.35196,                 1.0702,              0.0006536,              0.0006536,              0.0006536
                     71,                0.71225,                0.49921,                  1.093,                0.92498,                0.96636,                0.97487,                0.80791,                0.70362,                0.36461,                 1.0803,              0.0006338,              0.0006338,              0.0006338
                     72,                0.71129,                0.50043,                  1.082,                 0.9119,                0.98121,                0.96508,                0.81056,                 0.6683,                0.36365,                 1.0649,               0.000614,               0.000614,               0.000614
                     73,                0.70622,                0.49506,                 1.0815,                0.91913,                0.97314,                0.96849,                0.80955,                0.68034,                0.36263,                 1.0737,              0.0005942,              0.0005942,              0.0005942
                     74,                0.70353,                0.49374,                 1.0708,                0.90495,                0.98995,                0.97414,                0.81227,                0.67299,                0.35656,                 1.0693,              0.0005744,              0.0005744,              0.0005744
                     75,                0.69793,                0.48445,                 1.0708,                0.91684,                 0.9778,                0.96855,                0.81665,                0.67831,                0.35585,                 1.0748,              0.0005546,              0.0005546,              0.0005546
                     76,                0.68958,                0.48746,                 1.0754,                0.92749,                0.97791,                 0.9767,                0.81759,                0.67184,                0.34923,                 1.0735,              0.0005348,              0.0005348,              0.0005348
                     77,                0.67947,                0.47258,                 1.0691,                0.94521,                0.94957,                  0.974,                0.81474,                0.67782,                0.35649,                 1.0663,               0.000515,               0.000515,               0.000515
                     78,                0.68186,                0.47191,                 1.0717,                0.94308,                0.95107,                0.97241,                 0.8192,                0.64816,                0.34912,                 1.0555,              0.0004952,              0.0004952,              0.0004952
                     79,                0.68997,                0.48554,                  1.081,                0.93127,                0.95413,                0.97296,                0.82474,                0.65251,                0.35136,                 1.0578,              0.0004754,              0.0004754,              0.0004754
                     80,                0.67932,                0.46985,                 1.0662,                0.92339,                0.96942,                0.97392,                 0.8272,                0.65113,                0.34579,                 1.0508,              0.0004556,              0.0004556,              0.0004556
                     81,                0.67037,                0.46526,                 1.0588,                0.93197,                0.96363,                0.97658,                0.83169,                0.64416,                0.33659,                 1.0508,              0.0004358,              0.0004358,              0.0004358
                     82,                0.65996,                0.44839,                 1.0526,                0.93767,                0.96603,                0.97018,                0.82374,                0.64905,                0.35196,                 1.0529,               0.000416,               0.000416,               0.000416
                     83,                0.66739,                0.46893,                 1.0616,                0.94198,                0.94801,                0.97019,                0.81564,                0.66294,                 0.3535,                 1.0542,              0.0003962,              0.0003962,              0.0003962
                     84,                0.65895,                0.46217,                 1.0514,                0.91627,                0.98165,                0.96921,                0.82225,                0.64828,                0.35177,                 1.0619,              0.0003764,              0.0003764,              0.0003764
                     85,                0.65943,                  0.454,                 1.0541,                0.91311,                0.98777,                0.96913,                0.81994,                0.65515,                0.34539,                 1.0604,              0.0003566,              0.0003566,              0.0003566
                     86,                0.66038,                0.46406,                 1.0575,                0.92866,                0.98165,                0.97556,                0.82162,                0.65339,                0.33128,                 1.0557,              0.0003368,              0.0003368,              0.0003368
                     87,                0.65329,                0.44886,                 1.0558,                0.93102,                0.97554,                0.97257,                0.82349,                0.65418,                 0.3394,                 1.0513,               0.000317,               0.000317,               0.000317
                     88,                0.63797,                0.44476,                 1.0483,                0.94845,                0.95648,                0.97239,                0.82379,                0.66726,                0.34275,                 1.0678,              0.0002972,              0.0002972,              0.0002972
                     89,                0.64605,                0.44815,                 1.0469,                0.93841,                0.98165,                0.97476,                0.83093,                0.65508,                0.33046,                 1.0557,              0.0002774,              0.0002774,              0.0002774
                     90,                 0.6315,                0.43694,                 1.0315,                0.94891,                0.96559,                0.97532,                0.82442,                0.66355,                0.33062,                 1.0672,              0.0002576,              0.0002576,              0.0002576
                     91,                0.49726,                0.29179,                0.95665,                0.94878,                0.97554,                 0.9741,                0.82789,                0.65832,                0.32484,                 1.0597,              0.0002378,              0.0002378,              0.0002378
                     92,                0.47972,                0.27229,                 0.9399,                0.93053,                0.98305,                0.97467,                0.82783,                0.66316,                0.32496,                 1.0673,               0.000218,               0.000218,               0.000218
                     93,                0.47797,                0.27395,                0.93333,                0.95195,                0.96931,                0.97797,                 0.8363,                0.64297,                0.32024,                 1.0587,              0.0001982,              0.0001982,              0.0001982
                     94,                0.47184,                0.26969,                0.93638,                0.94114,                0.97794,                0.97529,                0.83442,                0.64558,                0.31778,                 1.0528,              0.0001784,              0.0001784,              0.0001784
                     95,                0.46871,                0.26217,                0.93625,                0.94356,                0.97138,                0.97553,                0.83332,                0.64398,                0.32401,                 1.0532,              0.0001586,              0.0001586,              0.0001586
                     96,                0.45132,                0.26523,                0.92464,                0.94634,                0.97071,                0.97218,                0.83232,                0.64534,                0.32919,                 1.0536,              0.0001388,              0.0001388,              0.0001388
                     97,                0.45698,                0.26297,                0.92673,                0.93809,                 0.9731,                0.97548,                0.83644,                0.63779,                0.32478,                 1.0464,               0.000119,               0.000119,               0.000119
                     98,                0.43974,                0.25249,                0.92141,                0.94637,                0.97126,                0.97724,                0.84389,                0.63922,                0.32532,                 1.0471,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.43996,                0.25759,                0.92025,                0.94094,                0.97439,                 0.9758,                0.83996,                0.63791,                0.32358,                 1.0502,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.43667,                0.25213,                0.91353,                0.94081,                0.97221,                0.97644,                0.84114,                0.64351,                0.32759,                 1.0507,               5.96e-05,               5.96e-05,               5.96e-05
